"NAICS","Industry Title","AIIE","Sector"
"5222","Nondepository Credit Intermediation","2.113","Business Services"
"5230","Securities, Commodity Contracts, and Other Financial Investments and Related Activities","2.219","Business Services"
"5241","Insurance Carriers","2.059","Business Services"
"5242","Agencies, Brokerages, and Other Insurance Related Activities","2.121","Business Services"
"5251","Insurance and Employee Benefit Funds","2.18","Business Services"
"5259","Other Investment Pools and Funds","2.07","Business Services"
"5310","Real Estate","0.524","Business Services"
"5320","Rental and Leasing Services (5322, 5323, and 5324 only)","-0.271","Business Services"
"5321","Automotive Equipment Rental and Leasing","-0.128","Business Services"
"5331","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","1.911","Business Services"
"5411","Legal Services","2.157","Business Services"
"5412","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","2.216","Business Services"
"5413","Architectural, Engineering, and Related Services","1.493","Business Services"
"5414","Specialized Design Services","1.281","Business Services"
"5415","Computer Systems Design and Related Services","1.86","Data & Storage"
"5416","Management, Scientific, and Technical Consulting Services","1.805","Business Services"
"5417","Scientific Research and Development Services","1.635","Business Services"
"5418","Advertising, Public Relations, and Related Services","1.306","Business Services"
"5419","Other Professional, Scientific, and Technical Services","0.602","Business Services"
"5511","Management of Companies and Enterprises","1.699","Business Services"
"5611","Office Administrative Services","1.754","Business Services"
"5612","Facilities Support Services","-1.008","Business Services"
"5613","Employment Services","-0.723","Business Services"
"5614","Business Support Services","1.705","Business Services"
"5615","Travel Arrangement and Reservation Services","1.683","Business Services"
"5616","Investigation and Security Services","-0.344","Business Services"
"5617","Services to Buildings and Dwellings","-1.999","Business Services"
"5619","Other Support Services","-0.476","Business Services"
"5621","Waste Collection","-1.332","Business Services"
"5622","Waste Treatment and Disposal","-0.797","Business Services"
"5629","Remediation and Other Waste Management Services","-0.784","Business Services"
"6111","Elementary and Secondary Schools","1.316","Business Services"
"6112","Junior Colleges","1.53","Business Services"
"6113","Colleges, Universities, and Professional Schools","1.457","Business Services"
"6114","Business Schools and Computer and Management Training","1.741","Business Services"
"6115","Technical and Trade Schools","0.947","Business Services"
"6116","Other Schools and Instruction","0.673","Business Services"
"6117","Educational Support Services","1.605","Business Services"
"6211","Offices of Physicians","1.01","Business Services"
"6212","Offices of Dentists","0.415","Business Services"
"6213","Offices of Other Health Practitioners","0.701","Business Services"
"6214","Outpatient Care Centers","0.969","Business Services"
"6215","Medical and Diagnostic Laboratories","0.674","Business Services"
"6216","Home Health Care Services","0.693","Business Services"
"6219","Other Ambulatory Health Care Services","0.787","Business Services"
"6221","General Medical and Surgical Hospitals","0.527","Business Services"
"6222","Psychiatric and Substance Abuse Hospitals","0.521","Business Services"
"6223","Specialty (except Psychiatric and Substance Abuse) Hospitals","0.59","Business Services"
"6231","Nursing Care Facilities (Skilled Nursing Facilities)","-0.243","Business Services"
"6232","Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities","0.857","Business Services"
"6233","Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly","-0.484","Business Services"
"6239","Other Residential Care Facilities","0.719","Business Services"
"6241","Individual and Family Services","1.163","Business Services"
"6242","Community Food and Housing, and Emergency and Other Relief Services","0.851","Business Services"
"6243","Vocational Rehabilitation Services","0.286","Business Services"
"6244","Child Day Care Services","0.057","Business Services"
